Durchzählen;Spiele zur Gruppeneinteilung;10 -99 Spieler*Innen;6;Kein Material nötig;Der Spielleiter*in zählt je nach Gruppengröße im Kreis alle Teilnehmer*Innen ab.  
Pärchen Suchspiel ;Spiele zur Gruppeneinteilung;10 - 40 Spieler*Innen;6;Vorbereitete Partnerkarten;"Es sollen berühmt Paar gefunden werden, jeder TN bekommt einen Zettel mit einem Prominenten Teilpärchen. Die Karten werden getauscht solange die Musik läuft, danach müssen sich die Paare finden.

Variante: 
Die Pärchen müssen sich, wenn sie sich gefunden haben auf den Boden setzten, das letzte Pärchen scheidet aus. So entsteht eine neue Form des Spieles"
Luftballonspiel;Kennenlernspiele;10-99 Spieler*Innen;10;Luftballons, Eddings, Musikanlage;"Jeder Spieler erhält einen Ballon, den er aufbläst und mit seinem Namen beschriftet. Die Spieler bewegen sich zur Musik durch den Raum und halten den Ballon in die Luft. Bei  einem  Musikstopp  schmettert  jeder  seinen  Ballon möglichst weit weg und schnappt sich einen anderen. Hat jeder einen neuen Ballon in der Hand, stellt der Spielleiter eine Aufgabe, z.B.: 
-„Erzählt euer Lieblingsessen/Lieblingstier“ 
-„Erzählt euch einen Wunsch“ 
-„Findet eine Gemeinsamkeit/einen Unterschied“
-„Tanzt einen Walzer“
Nun müssen die Teilnehmer den „Besitzer“ des Ballons suchen und die Aufgabe mit diesem lösen. Gleichzeitig bekommt man auch seinen eigenen Ballon wieder,also wird jede Aufgabe zweimal absolviert: Einmal mit dem Besitzer des „fremden“ Ballons und einmal mit dem „Wiederbringer“des eigenen Ballons. So erfährt man eine Menge über die anderen Teilnehmer in der Gruppe"
Der Vorhang fällt;Kennenlernspiele;12 -20 Spieler*Innen;6;Großes Tuch;"Zwei Gruppen treten gegeneinander an. In der Mitte wird ein großes, undurchsichtiges Tuch hochgehalten, so dass sich die Gruppen nicht sehen können.  Rechts und links hinter der Decke stehen sich zwei Stühle gegenüber. Jeweils ein Freiwilliger aus jeder Gruppe setzt sich auf den Stuhl.  
Der Spielleiter zählt langsam bis drei. Bei „drei“ fällt der Vorhang. Die beiden, die sich anschauen müssen schnell den Namen des anderen sagen. Der, der ihn zuerst sagt, bekommt einen Punkt. Der Vorhang wird wieder hochgehalten, eine neue Runde beginnt und zwei neue Freiwillige besetzen die Stühle.

Der Spielleiter zählt langsam bis drei. Bei „drei“ fällt der Vorhang. Die beiden, die sich anschauen müssen schnell den Namen des anderen sagen. Der, der ihn zuerst sagt, bekommt einen Punkt. Der Vorhang wird wieder hochgehalten, eine neue Runde beginnt und zwei neue Freiwillige besetzen die Stühle."
Namens-Chaos;Kennenlernspiele;10 -50 Spieler*Innen;6;Eine Musikanlage;"Der Spielleiter macht die Musik an. Alle sollen sich durch den Raum bewegen (auf Ansage auch hüpfen, schleichen, schreiten, ...). Irgendwann macht der Spielleiter*in die 
Musik aus und ruft einen Namen aus der Gruppe. Nun müssen alle zu der Person laufen, von der sie glauben, dass dies die gesuchte Person ist. Die  letzte Person die ankommt, scheidet aus und muss den nächsten Namen ansagen."
Zeitungsschlagen;Kennenlernspiele;8 -30 Spieler*Innen;6;Eine Zeitung ;Die Gruppe sitzt in einem Stuhlkreis. Ein Spieler steht in der Mitte und hält die zusammengerollte Zeitung in der Hand. Er fängt an einen Namen aus der Gruppe zu rufen. Dieser muss aufstehen und schnell einen anderen Namen rufen.  Dieser steht wiederum aufund ruft einen weiteren Namen. Der Spieler mit der Zeitungsrolle muss versuchen einem stehenden Mitspieler auf die Beine zu schlagen, bevor dieser einen neuen Namen gerufen hat. Gelingt es dem Spieler*in in der Mitte jemanden rechtzeitig mit der Zeitungsrolle zu berühren werden die Rollen gewechselt. 
Mein rechter, rechter Platz ist frei ;Kennenlernspiele;6 -30 Spieler*Innen;8;Kein Material nötig;Alle Mitspieler sitzen im Stuhlkreis. Ein weiterer Stuhl steht zwischen den Stühlen der Mitspieler. Dieser ist leer.Der Spieler links vom leeren Stuhl beginnt.Er legt seine Hand auf die Sitzfläche des leeren Stuhls und sagt: „Mein rechter, rechter Platz ist leer. Da wünsch ich mirden/die ... (z.B. FLORIAN) her.“ Dieser Mitspielerantwortet: „Als was soll ich kommen?“ Der erste Spielernennt ein Tier: „Als Elefant!“ Der ausgesuchte Spieler stellt pantomimisch einen Elefanten dar, stampft zum leeren Stuhlund setzt sich auf diesem hin. Nun hat ein neuer Mitspieler einen leeren rechten Platz. Dieser sagt, während er auf die leere Sitzfläche klopft: „Mein rechter, rechter Platz ist leer. Da wünsch ich mir den/die ... (z.B. TINA) her.“Der genannte Mitspieler antwortet: „Als was soll ich kommen?“Der Spieler nennt ein Tier und so weiter.
Ich packe meinenKoffer;Kennenlernspiele;10 –30 Spieler*Innen;6;Kein Material nötig;"Alle Personen setzen sich in einemKreis zusammen, je mehr desto besser. Der Erste aus der Runde sagt: ""Ich packe meinen Koffer und nehme mit: “seinen Namen"",der Zweite: ""Ich packe meinen Koffer und nehme mit: den Namen vom vorherigen und seinen eigenen"", der Dritte,: macht genauso weiter. 
Und so geht das immer weiter, bis sich jemand verspricht oder die Reihenfolge durcheinanderbringt.Dann  beginnt man von vorne"
Zip Zap;Kennenlernspiele;10-30 Spieler*Innen;6;Kein Material nötig;"Einer steht in der Mitte. Er deutet auf jemanden im Kreis und sagt ""Zip"". Der Angesprochene muss seinen linken Nachbarn nennen.Bei Zap seinen Rechten.Wer zu lange zögert oder gar einen Fehler macht, muss in die Mitte.

Varianten:
Bei ""ZipZap"" müssen alle die Plätze tauschen, auch der TN in der Mitte darf versuchen einen Platz zu bekommen. Wer übrigbleibt, bleibt mittig.""ZipZip"" bedeutet zwei weiter links."
Alle die...;Kennenlernspiele;8 -50 Spieler*Innen;6;Evtl. Musikanlage, mehrere Decken zum drauf legen;Die Spieler versammeln sich in einer Gruppe. Dann nennt der Spielleiter ein Kriterium, nach der eine zweite Gruppe gebildet werden soll. Etwa alle, deren Vorname mehr als fünf Buchstaben hat. Die Spieler, auf die das Kriterium zutrifft, sammeln sich. Sobald die Aufgabe gelöst ist, versammelt sich die Gruppe wieder und wartet auf die nächste Gruppenaufgabe. Es können beliebig viele Kriterien genannt werden, z.B. Geburtstag, Schuhgröße, Alter, Anzahlder Buchstaben im Straßennamen.
Ja, Nein, Vielleicht;Kennenlernspiele;6 -30 Spieler*Innen;8;Kein Material nötig;Ja, nein, vielleicht ist ein tolles, schwungvolles Spiel, bei dem es darauf ankommt, so viele Fragen wie möglich zu beantworten und dabei bestimmte Worte zu vermeiden. Das Spiel besteht aus Fragen, auf die man schnell antworten muss, aber nicht mit ja, nein oder vielleicht. Während des Spielskönnen weitere Wörter bestimmtwerden, die man zusätzlich vermeidenmuss.
Daniel Döner;Kennenlernspiele;6-40 Spieler*Innen;6;Kein Material nötig;Alle TN stellen sich mit seinem Namen und einem Lebensmittel mit dem Anfangsbuchstaben von seinem Namen vor. Der nächste TN sagt den Namen von der vorherigen Person, sowie seinen eigenen. So geht es immer weiter, bis sich einer verspricht. 
Papierrolle ;Kennenlernspiele;6-20 Spieler*Innen;12;Eine Klopapierrolle;Zunächst nimmt jeder TN von einer Toilettenpapierrolle ein paar Papierblätter weg. Jeder soll nicht zu viel nehmen, aber soviel wie er meint zu benötigen. Anschließend bekommen die Gruppenteilnehmer gesagt, dass sie pro Papier,das sie genommen haben etwas von sich bzw. über sich erzählen müssen.
Smarties Story ;Kennenlernspiele;6-30 Spieler*Innen;6;Eine Packung Smarties;Spiel wie zuvor, jedoch anstatt Papierblätter zu nehmen nimmt sich jeder eine beliebige Anzahl von Smarties aus einer Tüte. Pro Smartie muss nun jeder etwas von sich erzählen.
Sortieren nach...;Kennenlernspiele;6-30 Spieler*Innen;6;Kein Material nötig;Auf Kommando muss jede Gruppe sich so schnell wie möglich in die richtige Reihenfolge stellen. z.B.: alphabetisch sortiert nach dem ersten oder zweiten Vornamen, nach der Größe, nach dem Alter, nach Schuhgröße.Variante: wie  zuvor,  jedoch  nun  darf  nicht  gesprochen werden.
Spinnennetz;Kennenlernspiele;6-30 Spieler*Innen;10;Ein Wollknäul / Seil;Ein Wollknäuel wird gehalten. Die erste Person hält den Faden in der Hand und stellt irgendeiner anderen Person eine Frage indem das Knäuel dieser Person zugeworfen wird. Nach Beantwortung dieser Frage wirft wiederum diese Person den Knäuel weiter. So entsteht mit der Zeit ein tolles Spinnennetz. Mit etwas Glück so stabil, dass sich am Schluss eine Person darauflegen kann und angehoben werden kann.
Wahr oder Falsch;Kennenlernspiele;6-20 Spieler*Innen;12;Kein Material nötig;Jedes Gruppenmitglied macht zu verschiedenen Eigenschaften (Hobby, Schule/Beruf, Freund/Freundin, Urlaub, Erlebnis, ...) je eine Aussage über sich. Eine Aussage ist falsch, die anderen stimmen. In der gemeinsamen Vorstellungsrunde stellt sich jeder vor unddie anderen müssen erraten welchedie falsche Aussage ist. 
Vorstellen mit Zettel ziehen;Kennenlernspiele;6-30 Spieler*Innen;6;Zettel;Bei der Vorstellungsrunde fällt es manchen TNimmer schwer etwas über sich zu erzählen. Meistens endet es damit, dass jeder fast dasselbe wie die Vorredner erzählt. Von daher empfiehlt es sich, noch 2-3 Fragen aus einem Topf zu ziehen und diese neben der normalen Vorstellung zu beantworten.
Peng;Kennenlernspiele;6-30 Spieler*Innen;10;Kein Material nötig;Alle Gruppenmitglieder stehen im Kreis. Der Gruppenleiter nennt einen Namen. Die Personen rechts und links von der aufgerufenen Person bilden mit der Hand eine Pistole und deuten einen Schuss auf diejenige Person an und sagen „Peng“. Die aufgerufene Person hingegen wirft sich duckend auf den Boden.Ausgeschieden istentweder derjenige, welcher sich zu langsam geduckt hat, oder falls dieser sich schnell ducken konnte, derjenige der beiden Schützen, welcher langsamer war.
Mini – Chaosspiel;Kennenlernspiele;10 -80 Spieler*Innen;12;Kein Material nötig;"Alle stehen im Kreis. Der Spielleiter sagt:""Denke dir für dich 5 Personen, zu denen du gleich hingehst und denen du einen guten Tag wünscht!"". Auf ""3"" laufen nun alle zu den Personen, die sie sich vorher still ausgesucht haben. Es heißt Chaosspiel, weil es durchaus ein Chaos gibt, wenn plötzlich 3 Leute auf die gleiche Person zulaufen und diese selber aber auf noch eine andere zugeht. Die nächsten Spielrunden sind dann variabel. Z.B. kann man sagen: ""Suche dir nun 4 Personen, die du umarmst!"" Dies wird solange gespielt, bis man sich nur noch EINE Person aussuchen darf."
Namesstaffel;Kennenlernspiele;6-30 Spieler*Innen;12;Kreppband, Eddings;Es bilden sich kleine Gruppe, je nach TN Zahl.  Auf der einen Seite befindet sich Kreppband und Eddings, auf der anderen Seite die TN. Die TN müssen nacheinander zum dem Krepband rennen und sich ein Namensschild machen, dann den nächsten aus der Gruppe abklatschen. Die Gruppe die zuerst fertig ist gewinnt.
Geheimcode;Kennenlernspiele;6-30 Spieler*Innen;12;Codezettel;Es werden auf Zetteln Codes vorbereitet, die bestehen aus Alter, Geschlecht, Haarfarbe, Schuhgröße.Zum Beispiel: 22WB38 oder 10MR35. Die Codes müssen immer der ungefähren Gruppe angepasst werden
Positionieren;Kennenlernspiele;6-50 Spieler*Innen;12;Kein Material nötig;Ihr bereitet verschiedene Fragen vor:Welche Musik hört ihr ?Welchen Sport macht ihr?Lieblingsessen?Reisen? Dann überlegt ihr euch vier Kategorien als Antwortmöglichkeiten. Die TN sollen sich dann jeweils einer Ecke zuordnen. Das gleiche geht auch mit Ja -oder Neinfragen. 
Fan Schnick -Schnack -Schnuck;Kennenlernspiele;10-80 Spieler*Innen;6;Kein Material nötig;Alle TN spielen gegeneinander Schnick, Schnack, Schnuck. Der Verlier müssen sich hinter den/die Gewinner*in stellen und diese Person ganz stark anfeuern. 
Eigenschaften zuordnen;Kennenlernspiele;10-20 Spieler*Innen;12;Zettel und Stift ;Die Gruppe teilt sich in zwei. AlleTNschreiben auf mehrere Zettel Lieblingsfilm, Lieblingsmusik, Hobby, Lieblingstier, Lieblingsort... Danach werden die Zettel getauscht und die Gruppe muss die Zettel den Leuten zuordnen.
Bingo ;Kennenlernspiele;6-30 Spieler*Innen;12;Bingozettel ;Bei diesem Spiel geht es darum, dass man in vorgefertigte Zettel hinter jeder Eigenschaft jemanden findet, auf den diese Eigenschaft passt. Trifft die Eigenschaft zu, so unterschreibt diejenige Person in dieser Zeile mit ihrem Namen. Aber der Name einer Person darf maximal 2x auf dem Zettel auftauchen. Gewonnen hat, wer zuerst alle Felder ausgefüllt hat.
Parkplatzsuche in Tokio;Kreisspiele;10-99 Spieler*Innen;10;Stuhlkreis;Alle Spieler/innen sitzen im Stuhlkreis. Die Spielleitung steht in der Mitte und erklärt die Story (evtl. übersetzen). „In Tokio herrscht dichter Verkehr. Viele Menschen wollen ihr Auto parken und Parklücken sind begrenzt verfügbar. Ihr fahrt alle ein Auto und erledigt verschiedene Dinge an unterschiedlichen Orten der Stadt. D.h. alle müssen ab und an „umparken“.“ Jede/r Spieler/in sucht Augenkontakt zu anderen Spielern im Kreis. Treffen sich zwei Blicke, so tauschen diese beiden Spieler/innen die „Parkplätze“. Der Spielleiterin der Mitte versucht auch einen Platz zu erhaschen, sodass bald ein neuer TN in der Mitte steht und einen Parkplatz sucht.Dies ist ein schnelles und dynamisches Spiel.
Mixgeschichten;Kreisspiele;8-15Spieler*Innen;6;Kleinen Ball;Der Spielleiter beginnt die Runde und startet mit einem Satz,um die Geschichte einzuleiten. Danach wirft erden Ball zu einer anderen Person, die an den vorherigen Satzanschließen und einen Satz dranhängen muss. So entsteht Stück für Stück eine Geschichte.
Affe –Elefant –Giraffe;Kreisspiele;10 -30Spieler*Innen;6;Kein Material nötig;"Die Teilnehmer stehen im Kreis, ein Spieler in der Mitte. Dieser zeigt auf einen Spieler und sagt einen Tiernamen. Der betroffeneSpieler und seine beiden Nachbarn müssen nun das Tier darstellen –wer einen Fehler macht, geht in die MitteAffe: Mittlerer Spieler: Mund zu / linker Spieler –Ohren zu / rechter Spieler –Augen zuElefant: Mittlerer Spieler: Rüssel / rechter und linker Spieler jeweils ein Ohr mit den ArmenGiraffe: Mittlerer Spieler streckt beide Arme hoch (Hals) / linker Spieler Ohren / rechter Spieler Körper

Varianten:
Känguruh, Kamel, Palme, Toaster, Ente (Der Spielleiter muss sich dafür Figuren ausdenken)"
Buchstabenkette;Kreisspiele;8 -20 Spieler*Innen;6;Kein Material nötig;MaterialSpielerklärungEin Spiel, das man überall spielen kann. Auch ideal auf Reisen. Zum Beispiel im Flugzeug oder im Autobus. Das erste Kind nennt ein Wort. z.B.: „Banane.“ Das zweite Kind muss dann aus dem Endbuchstaben wieder ein Wort bilden. In dem Fall wäre es das „E.“ Wenn das Kind jetzt „Eimer“ sagt, muss das nächste ein Wort mit „R“ finden. Am Anfang darf man ruhig ein wenig überlegen. Nach einer Weile wird die Geschwindigkeit gesteigert. Wer kein Wort mehr weiß, scheidet aus. Natürlich darf jedesWortnur einmal vorkommen. Schwieriger wird es,wenn man die Spielrunden in Kategorien einteilt,z.B.: Tiere, Lebensmittel, Städte, 
Auto und Schwein ;Kreisspiele;6 -30 Spieler*Innen;6;Kein Material nötig;"Alle Spieler sitzen oder stehen im Kreis. Dann beginnt einer mit dem Geräusch eines Autos (zB: niu). Sein Nachbar setzt das Geräusch fort und so wird es im Kreis weitergegeben.Zur gleichen Zeit beginnt jemand mit einem Schweinegrunzen. Es wird in derselben Art und in dieselbe Richtung weitergegeben. Das Spiel ist zu Ende, wenn das Autogeräusch das Schweinegrunzen überholt hat (das Schwein wurde überfahren).!!! Sehr beliebt undlustig!

Variante: 
Kissenrennen –da spielt jeder Zweite in einem Team und gibt das Teamkissen an seinenTeamnachbarn weiter. Die Kissen werden mit einem gleichen Abstand losgeschickt. Wenn das eine Kissen das andere überholt hat gewinnt die eine Mannschaft"
Obstsalat ;Kreisspiele;0 –30 Spieler*Innen;6;Kein Material nötig;DieStühle werden im Kreis aufgestellt. Jedes Kind setzt sich auf einen Stuhl und bekommt vom Spielleiter eine Obstsorte zugeteilt. Dabei erhalten immer mehrere Kinder dieselbe Obstsorte,(Apfel, Banane, Orange, Pflaume, usw.).Dann ruft derSpielleiter eine Obstsorte, zB.:„Banane!“. Alle Kinder, denen vorher die Banane zugeteilt wurde, müssen aufstehen und miteinander die Plätze tauschen.Die Kinder dürfen sich nicht wieder auf den eigenen Stuhl setzen, es muss ein neuer Stuhl sein.Wenn der Spielleiter „Obstsalat!“ ruft, springen alle Kinder auf und suchen sich einen anderen Stuhl.Der Spielleiter kann auch mehr als eine Obstsorte rufen. Zum Beispiel ruft er „Pflaume und Apfel!“. Dann müssen alle Kinder der Gruppen Pflaume und Apfel die Plätze tauschen.
Bombe;Kreisspiele;8-30 Spieler*Innen;6;Kein Material nötig;"Ein kleiner Ball o.Ä. ist die Bombe. Diese wird reihum von den Teilnehmern durchgegeben. Ein/e LeiterIn sitzt als Zeitzünder blind in der Mitte und sagt laut “Tick, tick, tick, ...” bzw. “Tack, tack, tack, ...”. Bei “Tick” wird die Bombe je an den linken Nachbarn weitergegeben, bei “Tack” an den rechten. Durch Wechsel der Richtung und der Geschwindigkeit des Tickens kann Spannung aufgebaut werden. Ruft der Zeitzünder schließlich “Bumm!”, scheidet derjenige Spieler/diejenige Spielerin aus und setztsich mit ausgestreckten Beinen auf den Boden. Noch lebendeSpielermüssen von jetzt an zuerst über die Beine der Ausgeschiedenen steigen, bevor sie die Bombe weitergeben dürfen. Der/die letzte Überlebende gewinnt. Variation für kleine Gruppen:Das Weitergeben der Bombe funktioniert direkt, ohne zusätzliche Hindernisse, eventuell sogar ohne festgelegte Reihenfolge. Wer ausscheidet ist der Zeitzünder für die nächste Runde. 

Variation:
 für kleine Gruppen:Das Weitergeben der Bombe funktioniert direkt, ohne zusätzliche Hindernisse, eventuell sogar ohne festgelegte Reihenfolge. Wer ausscheidet ist der Zeitzünder für die nächste Runde."
Musikzirkus oder Dancing Queen;Kreisspiele;6 -30 Spieler*Innen;8;Kein Material nötig ;"
Es wird eine Person bestimmt, die den Raum verlässt. Alle anderen Teilnehmerstellen sich im Kreis auf und bestimmen einen Dirigenten oder eine Dancing Queen. Diese Person hat die Aufgabe immer ein Musikinstrument oder eine Tanzbewegung vorzugeben. Dabei soll die Person die draußen war nicht mitbekommen, wer der Dirigent oder die Dancing Queen ist. Wenn diese Person den Raum betritt, hat sie drei Versuche zu erraten, wer den Beat angibt."
Turtelwushu;Kreisspiele;6-40 Spieler*Innen;6;Schildkrötenfiguren oder ähnlichesz.B. Wäscheklammern für jeden Spieler;Jeder Spieler positioniert die Schildkröte auf seiner Handoberfläche. Wenn das Spiel startet hat jeder die Aufgabe, die Schildkröten von den anderen Mitspielern von der Hand zu schlagen. Verliert man dabei seine eigene Schildkröte, ist man aus dem Spiel ausgeschieden.
Simon sagt ;Kreisspiele;6-99 Spieler*Innen;5;Kein Material nötig;"Ein Mitspieler wird bestimmt, der das Spiel beginnen darf. Dieser hat die Aufgabe, euch zu sagen, was ihr tun müsst.
Denn immerwenn er einen Satz mit: „Simon sagt“ anfängt, müsst ihr genau das tun, was er euch sagt. Ruft er also „Simon sagt springt in die Luft“, dann müssen alle in die Luft springen. Sagt er „Simon sagt dreht euch im Kreis“, müssen sich alle im Kreis drehen.Rufter jedoch ein Kommando, ohne „Simon sagt“, also z. B. nur „Arme kreisen“, müssen alle ganz still stehen bleiben und dürfen sich nicht bewegen. Bemerkt der Mitspieler wenn jemand sich bewegt oder wackelt, so scheidet dieser Spieler aus.Der letzte, der übrig bleibt, hat gewonnen und darf der nächste Simon sein."
Helme auf ;Kreisspiele;6-30 Spieler*Innen;8;Kein Material nötig;"Alle Spieler setzen oder stellen sich locker im Kreis auf, mit Blick zur Kreismitte. Mit Daumen und Zeigefinder der beidenHände wird ein ""O"" geformt, die restlichen Finger von der Hand abgestreckt. Diese improvisierte ""Brille"" wird an die Augen gelegt undsymbolisiert die Kopffedern der Hühner.

Reihum führen die Spieler nun eine einfache Bewegung durch: sie fahren mit einemder Arme in Richtung Boden und geben dabei ein ""Hühnergegacker"" (zum Beispiel ""bok-gah!"") von sich. Anschließend ist der nächste Spieler an der Reihe, der ebenfalls diese Bewegung ausführen muss. Die Richtung im Kreis, in der diese Bewegung ausgeführt wird, kann sich aber ändern: als nächster Spieler ist jeweils der an der Reihe, auf dessen Seite der zuletzt aktive Spieler seinen Arm gesenkt hatte. Führt dieser die Bewegung mit dem linken Arm aus, ist sein linker Nachbar an der Reihe, beim rechten Arm wäre es sein rechter Mitspieler.

Sind alle Spieler mit den Regeln vertraut, so werden folgende (oder ähnliche) Sonderregeln eingeführt:
Wirdein anderes Gegacker ausgesprochen (zum Beispiel: ""buut""), wird ein Spieler übersprungen (die Richtung wird beibehalten).Werden beide Arme gesenkt, tauschen alle Spieler die Plätze (natürlich unter euphorischem Gegackere).Weitere Sonderregeln können nach Belieben eingeführt werden.Wer einen Fehler macht, muss die ""Fehlerhand"" aus dem Spiel nehmen. Fehler können etwa sein:-zu spät reagieren(hierzu hat der Spieler etwa zwei Sekunden Zeit)-falsch reagieren (wenn man nicht selber an der Reihe ist).-zu früh reagieren (wenn man nicht an der Reihe ist, bei -einem überraschenden Richtungswechsel oder wenn man aussetzen muss)
-eventuell können auch falsche Töne oder generell Sprechen verboten werden: insbesondere ""Lachen"" kann so ""bestraft"" werdenWer eine Hand verloren hat, kann dementsprechend keinen Richtungswechsel mehr durchführen (andere Sonderfiguren, zum Beispiel das Überspringen eines Mitspielers, sind weiter möglich). Wer beide Hände verloren hat, scheidet aus dem Spiel aus."
Ghost ;Kreisspiele;6-20Spieler*Innen;8;Kein Material ntig;Die Spieler setzen sich im Kreis oder machen sonst eine Reihenfolge aus. Der erste Spieler denkt sich ein Wort aus und sagt dessen ersten Buchstaben. Der zweite muss sich nun ein Wort suchen, dass mit diesem Buchstaben beginnt und sagt den zweiten von seinem Wort. Es muss nicht das Wort des Vorgängers sein. Der dritte Spieler muss sich nun ein Wort suchen, das so beginnt und sagt den dritten. Wer ein Wort beendet bzw. unbewusst einen Buchstaben sagt mit dem dies Wort zuende ist, auch wenn er an ein anderes gedacht hat, kriegt einen Punkt und er beginnt mit einem neuen Buchstaben. Wenn einem kein Wort einfällt mit den bisher genannten Buchstaben, kann seinen Vorgänger fragen, was er sich gedacht hat. Weiß dieser ein Wort, so bekommt der Fragende einen Punkt. Weiß er keines, weil er einfach einen Buchstaben gesagt hat, kriegt er den Punkt. Wer drei Punkte hat, wird zum Geist. Der Geist darf zwar keine Buchstaben mehr nennen und spielt nicht mehr richtig mit, aber er darf versuchen, andere abzulenken. Denn wer mit einem Geist Kontakt aufnimmt, wird selbst zum Geist. Geister können sich problemlos unterhalten. Wer hält am längsten durch?Der letzte,der übrig bleibt, hat gewonnen.
Beim Psychiater ;Kreisspiele;6-12 Spieler*Innen;12;Kein Material nötig;"Eine Person wird zum Psychiater bestimmt und geht kurz vor die Tür. Die anderen überlegen sich jeweils eine Krankheit. Das können folgende Dinge sein:

Der eine antwortet immer auf die Fragen, die der Person rechts daneben gestellt wurden bei einem bestimmten Wort oder Gegenstand fängt die Person an zu heulen.Ein anderer hält sich für den Bundeskanzler, oder für einen Spieler der Deutschen Nationalmannschaft.Ein anderer lebt in einer anderen Welt.Der nächste sitzt immer mit Beinen überkreuzt da und hat die Hände in der Hosentasche.Der nächste meint er fühlt er sei ein Flippergerät.Anschließend kommt der Psychiater wieder herein und stellt Fragen und möchte herausfinden an was die Patienten leiden."
